person_id,household_id,sex,age,home_x,home_y,marital_status,nationality,household_size,age_class,household_size_class,home_zone_id,municipality_type,home_municipality_id,home_quarter_id,canton_id,population_density,sp_region,ovgk,statpop_person_id,statpop_household_id,is_head,longitude,latitude,canton_id.1,canton_name,distance
201240012716819,201202610004233,0,38,2682540.8148568505,1244619.0954584733,0,0,4,5,3,2726.0,urban,261,261021.0,1.0,57522,1,B,201240012716819,201202610004233,True,8.53214504024825,47.347436098841726,1,Zurich,
201240015979968,201201360000871,1,49,2682036.879326499,1237920.891779612,0,0,1,6,0,391.0,urban,136,,1.0,16153,1,None,201240015979968,201201360000871,True,8.525675701108161,47.28587957612314,1,Zurich,
201240010501966,201202610031957,1,37,2681469.292623321,1247349.2982202333,1,0,4,5,3,2739.0,urban,261,261034.0,1.0,142335,1,A,201240010501966,201202610031957,False,8.516731279660917,47.371912927723,1,Zurich,
201240008635128,201200550000242,0,71,2682358.439395095,1270339.578880878,1,0,5,7,4,337.0,urban,55,,1.0,5446,1,D,201240008635128,201200550000242,False,8.530078458862356,47.57690575998055,1,Zurich,
201240014877548,201201310005581,0,25,2681926.4460744713,1239267.8869165913,1,1,4,4,3,388.0,urban,131,,1.0,29349,1,C,201240014877548,201201310005581,True,8.522606814263405,47.30011208755114,1,Zurich,
201240016003816,201202610006428,0,74,2682875.7338886904,1242856.04981258,1,0,2,7,1,2726.0,urban,261,261021.0,1.0,42436,1,C,201240016003816,201202610006428,True,8.53646261653474,47.33214820982201,1,Zurich,
201240016173224,201200550000729,0,53,2682150.4924040283,1269670.0574548019,1,0,2,6,1,337.0,urban,55,,1.0,6903,1,None,201240016173224,201200550000729,False,8.527202978239915,47.572804306607885,1,Zurich,
201240008844265,201200620006655,1,61,2686371.5445140903,1257506.894796789,1,0,2,6,1,344.0,urban,62,,1.0,20099,1,B,201240008844265,201200620006655,False,8.58172042957928,47.462732121453485,1,Zurich,
201240008261046,201201310003038,0,39,2681702.888928511,1240776.6699872452,1,0,5,5,4,388.0,urban,131,,1.0,34466,1,B,201240008261046,201201310003038,False,8.519027687933077,47.31339572501644,1,Zurich,
201240008779909,201202610054399,0,30,2682665.8157307105,1248289.4055048802,1,1,2,5,1,2743.0,urban,261,261051.0,1.0,151963,1,A,201240008779909,201202610054399,True,8.53381535975262,47.38108015319929,1,Zurich,
201240007814191,201201980011535,0,67,2696970.6539903446,1245044.366569892,2,0,2,7,1,424.0,urban,198,,1.0,30775,1,B,201240007814191,201201980011535,False,8.722738119077162,47.35035795197226,1,Zurich,
201240009899564,201200900000970,1,52,2679800.5871514524,1259523.6933951387,1,0,4,6,3,364.0,urban,90,,1.0,19836,1,D,201240009899564,201200900000970,False,8.496440356315505,47.48173066830509,1,Zurich,
201240008233848,201202610140229,0,26,2683386.2201995035,1251781.9050404937,0,1,1,4,0,2754.0,urban,261,261115.0,1.0,104957,1,A,201240008233848,201202610140229,True,8.5448769382655,47.410586596562034,1,Zurich,
201240012936679,201201940000860,0,83,2693528.972751406,1247803.051990298,2,0,1,8,0,420.0,urban,194,,1.0,27548,1,None,201240012936679,201201940000860,True,8.67674328502222,47.37263828168687,1,Zurich,
201240007786350,201201590002011,0,72,2693368.6953658224,1236094.9772677296,1,0,2,7,1,406.0,urban,159,,1.0,19652,1,None,201240007786350,201201590002011,True,8.674526623062238,47.27076088494321,1,Zurich,
201240015327030,201202300038667,0,21,2694696.3807972157,1259884.2384560062,0,0,4,3,3,2566.0,urban,230,230420.0,1.0,21299,1,C,201240015327030,201202300038667,False,8.69508794621795,47.48349558509755,1,Zurich,
201240012642189,201202250000359,0,84,2701641.883575737,1266408.6637969883,1,1,2,8,1,438.0,urban,225,,1.0,8400,1,D,201240012642189,201202250000359,True,8.78988980888573,47.53902523922791,1,Zurich,
201240013727298,201202610142576,1,62,2684142.631702084,1251399.0323978285,1,0,2,6,1,2754.0,urban,261,261115.0,1.0,106924,1,B,201240013727298,201202610142576,False,8.552690682471658,47.40784901169225,1,Zurich,
201240012516935,201201120001563,1,91,2704575.143750396,1236398.9477687369,2,0,1,8,0,378.0,urban,112,,1.0,14135,1,B,201240012516935,201201120001563,True,8.82198401397621,47.26920243527693,1,Zurich,
