person_id,household_id,sex,age,home_x,home_y,marital_status,nationality,household_size,age_class,household_size_class,home_zone_id,municipality_type,home_municipality_id,home_quarter_id,canton_id,population_density,sp_region,ovgk,statpop_person_id,statpop_household_id,is_head,longitude,latitude,canton_id.1,canton_name,distance,anonymization_distance_m,original_neighbors_within_displacement
201240012716819,201202610004233,0,38,2682723.0,1244578.0,0,0,4,5,3,2726.0,urban,261,261021.0,1.0,57522,1,B,201240012716819,201202610004233,True,8.53214504024825,47.347436098841726,1,Zurich,,113.44161493913951,3
201240015979968,201201360000871,1,49,2682234.0,1237790.0,0,0,1,6,0,391.0,urban,136,,1.0,16153,1,None,201240015979968,201201360000871,True,8.525675701108161,47.28587957612314,1,Zurich,,0.0,0
201240010501966,201202610031957,1,37,2681340.0,1247458.0,1,0,4,5,3,2739.0,urban,261,261034.0,1.0,142335,1,A,201240010501966,201202610031957,False,8.516731279660917,47.371912927723,1,Zurich,,142.00352108310554,10
201240008635128,201200550000242,0,71,2682164.0,1270351.0,1,0,5,7,4,337.0,urban,55,,1.0,5446,1,D,201240008635128,201200550000242,False,8.530078458862356,47.57690575998055,1,Zurich,,207.3957569479183,2
201240014877548,201201310005581,0,25,2682185.0,1239307.0,1,1,4,4,3,388.0,urban,131,,1.0,29349,1,C,201240014877548,201201310005581,True,8.522606814263405,47.30011208755114,1,Zurich,,214.17049283222934,11
201240016003816,201202610006428,0,74,2682801.0,1242851.0,1,0,2,7,1,2726.0,urban,261,261021.0,1.0,42436,1,C,201240016003816,201202610006428,True,8.53646261653474,47.33214820982201,1,Zurich,,200.4120754844877,1
201240016173224,201200550000729,0,53,2681933.0,1269517.0,1,0,2,6,1,337.0,urban,55,,1.0,6903,1,None,201240016173224,201200550000729,False,8.527202978239915,47.572804306607885,1,Zurich,,174.94284781036347,2
201240008844265,201200620006655,1,61,2686518.0,1257324.0,1,0,2,6,1,344.0,urban,62,,1.0,20099,1,B,201240008844265,201200620006655,False,8.58172042957928,47.462732121453485,1,Zurich,,380.1710141502111,10
201240008261046,201201310003038,0,39,2681634.0,1240990.0,1,0,5,5,4,388.0,urban,131,,1.0,34466,1,B,201240008261046,201201310003038,False,8.519027687933077,47.31339572501644,1,Zurich,,157.88920165736477,4
201240008779909,201202610054399,0,30,2682895.0,1248259.0,1,1,2,5,1,2743.0,urban,261,261051.0,1.0,151963,1,A,201240008779909,201202610054399,True,8.53381535975262,47.38108015319929,1,Zurich,,228.86240407720967,9
